常看頻道,#genre#
辽宁卫视,http://60.205.114.16/live/lnws.m3u8?user=APTV66&line=1
内蒙古卫视,http://60.205.114.16/live/nmws.m3u8?user=APTV66&line=1
宁夏卫视,http://60.205.114.16/live/nxws.m3u8?user=APTV66&line=1
甘肃卫视,http://60.205.114.16/live/gsws.m3u8?user=APTV66&line=1
青海卫视,http://60.205.114.16/live/qhws.m3u8?user=APTV66&line=1
陕西卫视,http://60.205.114.16/live/sxws.m3u8?user=APTV66&line=1
河北卫视,http://60.205.114.16/live/hbws.m3u8?user=APTV66&line=1
山西卫视,http://60.205.114.16/live/sxiws.m3u8?user=APTV66&line=1
山东卫视,http://60.205.114.16/live/sdws.m3u8?user=APTV66&line=1
安徽卫视,http://60.205.114.16/live/ahws.m3u8?user=APTV66&line=1
河南卫视,http://60.205.114.16/live/hnws.m3u8?user=APTV66&line=1
湖北卫视,http://60.205.114.16/live/hubws.m3u8?user=APTV66&line=1
湖南卫视,http://60.205.114.16/live/hunws.m3u8?user=APTV66&line=1
江西卫视,http://60.205.114.16/live/jxws.m3u8?user=APTV66&line=1
江苏卫视,http://60.205.114.16/live/jsws.m3u8?user=APTV66&line=1
浙江卫视,http://60.205.114.16/live/zjws.m3u8?user=APTV66&line=1
东南卫视,http://60.205.114.16/live/dnws.m3u8?user=APTV66&line=1
海峡卫视,http://60.205.114.16/live/hxws.m3u8?user=APTV66&line=1
厦门卫视,http://60.205.114.16/live/xmws.m3u8?user=APTV66&line=1
广东卫视,http://60.205.114.16/live/gdws.m3u8?user=APTV66&line=1
深圳卫视,http://60.205.114.16/live/szws.m3u8?user=APTV66&line=1
广西卫视,http://60.205.114.16/live/gxws.m3u8?user=APTV66&line=1
云南卫视,http://60.205.114.16/live/ynws.m3u8?user=APTV66&line=1
贵州卫视,http://60.205.114.16/live/gzws.m3u8?user=APTV66&line=1
四川卫视,http://60.205.114.16/live/scws.m3u8?user=APTV66&line=1
康巴卫视,http://60.205.114.16/live/kbws.m3u8?user=APTV66&line=1
海南卫视,http://60.205.114.16/live/hinws.m3u8?user=APTV66&line=1
三沙卫视,http://60.205.114.16/live/ssws.m3u8?user=APTV66&line=1
新疆卫视,http://60.205.114.16/live/xjws.m3u8?user=APTV66&line=1
兵团卫视,http://60.205.114.16/live/btws.m3u8?user=APTV66&line=1
西藏卫视,http://60.205.114.16/live/xzws.m3u8?user=APTV66&line=1
西藏藏语卫视,http://60.205.114.16/live/xzzyws.m3u8?user=APTV66&line=1
CETV1,http://60.205.114.16/live/cetv1.m3u8?user=APTV66&line=1
CETV2,http://60.205.114.16/live/cetv2.m3u8?user=APTV66&line=1
CETV4,http://60.205.114.16/live/cetv4.m3u8?user=APTV66&line=1
北京纪实科教,http://60.205.114.16/live/bjjskj.m3u8?user=APTV66&line=1
纪实人文,http://60.205.114.16/live/shjsrw.m3u8?user=APTV66&line=1
动漫秀场,http://60.205.114.16/live/dmxc.m3u8?user=APTV66&line=1
哈哈炫动,http://60.205.114.16/live/hhxd.m3u8?user=APTV66&line=1
欢笑剧场,http://60.205.114.16/live/hxjc.m3u8?user=APTV66&line=1
欢笑剧场 4K,http://60.205.114.16/live/hxjc4k.m3u8?user=APTV66&line=1
都市剧场,http://60.205.114.16/live/dsjc.m3u8?user=APTV66&line=1
五星体育,http://60.205.114.16/live/wxty.m3u8?user=APTV66&line=1
劲爆体育,http://60.205.114.16/live/jbty.m3u8?user=APTV66&line=1
新视觉,http://60.205.114.16/live/xsj.m3u8?user=APTV66&line=1
游戏风云,http://60.205.114.16/live/yxfy.m3u8?user=APTV66&line=1
生活时尚,http://60.205.114.16/live/shss.m3u8?user=APTV66&line=1
金色学堂,http://60.205.114.16/live/jspd.m3u8?user=APTV66&line=1
乐游,http://60.205.114.16/live/qjs.m3u8?user=APTV66&line=1
魅力足球,http://60.205.114.16/live/mlzq.m3u8?user=APTV66&line=1
茶频道,http://60.205.114.16/live/cpd.m3u8?user=APTV66&line=1
快乐垂钓,http://60.205.114.16/live/klcd.m3u8?user=APTV66&line=1
金鹰纪实,http://60.205.114.16/live/jyjs.m3u8?user=APTV66&line=1
金鹰卡通,http://60.205.114.16/live/jykt.m3u8?user=APTV66&line=1
嘉佳卡通,http://60.205.114.16/live/jjkt.m3u8?user=APTV66&line=1
财富天下,http://60.205.114.16/live/cftx.m3u8?user=APTV66&line=1
中国天气,http://60.205.114.16/live/zgtq.m3u8?user=APTV66&line=1
上海新闻综合,http://60.205.114.16/live/shxwzh.m3u8?user=APTV66&line=1
上海都市,http://60.205.114.16/live/shds.m3u8?user=APTV66&line=1
上海ICS外语,http://60.205.114.16/live/shics.m3u8?user=APTV66&line=1
东方影视,http://60.205.114.16/live/dfys.m3u8?user=APTV66&line=1
七彩戏剧,http://60.205.114.16/live/qcxj.m3u8?user=APTV66&line=1
第一财经,http://60.205.114.16/live/dycj.m3u8?user=APTV66&line=1
法治天地,http://60.205.114.16/live/fztd.m3u8?user=APTV66&line=1
东方财经,http://60.205.114.16/live/dfcj.m3u8?user=APTV66&line=1
上海教育,http://60.205.114.16/live/shjy.m3u8?user=APTV66&line=1
东方购物,http://60.205.114.16/live/dfgw.m3u8?user=APTV66&line=1
浦东电视台,http://60.205.114.16/live/pdtv.m3u8?user=APTV66&line=1
福建综合,http://60.205.114.16/live/fjzh.m3u8?user=APTV66&line=1
福建新闻,http://60.205.114.16/live/fjxw.m3u8?user=APTV66&line=1
福建电视剧,http://60.205.114.16/live/fjdsj.m3u8?user=APTV66&line=1
福建文体,http://60.205.114.16/live/fjwt.m3u8?user=APTV66&line=1
福建少儿,http://60.205.114.16/live/fjse.m3u8?user=APTV66&line=1
福建旅游,http://60.205.114.16/live/fjly.m3u8?user=APTV66&line=1
福建经济,http://60.205.114.16/live/fjjj.m3u8?user=APTV66&line=1
福建公共,http://60.205.114.16/live/fjgg.m3u8?user=APTV66&line=1
福建教育,http://60.205.114.16/live/fjjy.m3u8?user=APTV66&line=1
看天下精选,http://60.205.114.16/live/ktxjx.m3u8?user=APTV66&line=1
华语影院,http://60.205.114.16/live/hyyy.m3u8?user=APTV66&line=1
电竞天堂,http://60.205.114.16/live/djtt.m3u8?user=APTV66&line=1
青春动漫,http://60.205.114.16/live/qcdm.m3u8?user=APTV66&line=1
星光影院,http://60.205.114.16/live/xgyy.m3u8?user=APTV66&line=1
谍战剧场,http://60.205.114.16/live/dzjc.m3u8?user=APTV66&line=1
全球大片,http://60.205.114.16/live/qqdp.m3u8?user=APTV66&line=1
热门剧场,http://60.205.114.16/live/rmjc.m3u8?user=APTV66&line=1
热门综艺,http://60.205.114.16/live/rmzy.m3u8?user=APTV66&line=1
戏曲精选,http://60.205.114.16/live/xqjx.m3u8?user=APTV66&line=1
健康养生,http://60.205.114.16/live/jkys.m3u8?user=APTV66&line=1
百变课堂,http://60.205.114.16/live/bbkt.m3u8?user=APTV66&line=1
宝宝动画,http://60.205.114.16/live/bbdh.m3u8?user=APTV66&line=1
百视通体育1,http://60.205.114.16/live/sport1.m3u8?user=APTV66&line=1
百视通体育2,http://60.205.114.16/live/sport2.m3u8?user=APTV66&line=1
百视通体育3,http://60.205.114.16/live/sport3.m3u8?user=APTV66&line=1
百视通体育4,http://60.205.114.16/live/sport4.m3u8?user=APTV66&line=1
百视通体育5,http://60.205.114.16/live/sport5.m3u8?user=APTV66&line=1
百视通体育6,http://60.205.114.16/live/sport6.m3u8?user=APTV66&line=1
百视通体育7,http://60.205.114.16/live/sport7.m3u8?user=APTV66&line=1
CCTV-1 综合,http://60.205.114.16/live/cctv1.m3u8?user=APTV66&line=2
CCTV-2 财经,http://60.205.114.16/live/cctv2.m3u8?user=APTV66&line=2
CCTV-3 综艺,http://60.205.114.16/live/cctv3.m3u8?user=APTV66&line=2
CCTV-4 中文国际,http://60.205.114.16/live/cctv4.m3u8?user=APTV66&line=2
CCTV-5 体育,http://60.205.114.16/live/cctv5.m3u8?user=APTV66&line=2
CCTV-5+ 体育赛事,http://60.205.114.16/live/cctv5p.m3u8?user=APTV66&line=2
CCTV-6 电影,http://60.205.114.16/live/cctv6.m3u8?user=APTV66&line=2
CCTV-7 国防军事,http://60.205.114.16/live/cctv7.m3u8?user=APTV66&line=2
CCTV-8 电视剧,http://60.205.114.16/live/cctv8.m3u8?user=APTV66&line=2
CCTV-9 纪录,http://60.205.114.16/live/cctv9.m3u8?user=APTV66&line=2
CCTV-10 科教,http://60.205.114.16/live/cctv10.m3u8?user=APTV66&line=2
CCTV-11 戏曲,http://60.205.114.16/live/cctv11.m3u8?user=APTV66&line=2
CCTV-12 社会与法,http://60.205.114.16/live/cctv12.m3u8?user=APTV66&line=2
CCTV-13 新闻,http://60.205.114.16/live/cctv13.m3u8?user=APTV66&line=2
CCTV-14 少儿,http://60.205.114.16/live/cctv14.m3u8?user=APTV66&line=2
CCTV-15 音乐,http://60.205.114.16/live/cctv15.m3u8?user=APTV66&line=2
CCTV-16 奥林匹克,http://60.205.114.16/live/cctv16.m3u8?user=APTV66&line=2
CCTV-17 农业农村,http://60.205.114.16/live/cctv17.m3u8?user=APTV66&line=2
CCTV-4K 超高清,http://60.205.114.16/live/cctv4k.m3u8?user=APTV66&line=2
CCTV-16 奥林匹克 4K,http://60.205.114.16/live/cctv164k.m3u8?user=APTV66&line=2
CGTN,http://60.205.114.16/live/cgtn.m3u8?user=APTV66&line=2
北京卫视,http://60.205.114.16/live/bjws.m3u8?user=APTV66&line=2
东方卫视,http://60.205.114.16/live/dfws.m3u8?user=APTV66&line=2
天津卫视,http://60.205.114.16/live/tjws.m3u8?user=APTV66&line=2
重庆卫视,http://60.205.114.16/live/cqws.m3u8?user=APTV66&line=2
黑龙江卫视,http://60.205.114.16/live/hljws.m3u8?user=APTV66&line=2
吉林卫视,http://60.205.114.16/live/jlws.m3u8?user=APTV66&line=2
辽宁卫视,http://60.205.114.16/live/lnws.m3u8?user=APTV66&line=2
内蒙古卫视,http://60.205.114.16/live/nmws.m3u8?user=APTV66&line=2
宁夏卫视,http://60.205.114.16/live/nxws.m3u8?user=APTV66&line=2
甘肃卫视,http://60.205.114.16/live/gsws.m3u8?user=APTV66&line=2
青海卫视,http://60.205.114.16/live/qhws.m3u8?user=APTV66&line=2
陕西卫视,http://60.205.114.16/live/sxws.m3u8?user=APTV66&line=2
河北卫视,http://60.205.114.16/live/hbws.m3u8?user=APTV66&line=2
山西卫视,http://60.205.114.16/live/sxiws.m3u8?user=APTV66&line=2
山东卫视,http://60.205.114.16/live/sdws.m3u8?user=APTV66&line=2
安徽卫视,http://60.205.114.16/live/ahws.m3u8?user=APTV66&line=2
河南卫视,http://60.205.114.16/live/hnws.m3u8?user=APTV66&line=2
湖北卫视,http://60.205.114.16/live/hubws.m3u8?user=APTV66&line=2
湖南卫视,http://60.205.114.16/live/hunws.m3u8?user=APTV66&line=2
江西卫视,http://60.205.114.16/live/jxws.m3u8?user=APTV66&line=2
江苏卫视,http://60.205.114.16/live/jsws.m3u8?user=APTV66&line=2
浙江卫视,http://60.205.114.16/live/zjws.m3u8?user=APTV66&line=2
东南卫视,http://60.205.114.16/live/dnws.m3u8?user=APTV66&line=2
海峡卫视,http://60.205.114.16/live/hxws.m3u8?user=APTV66&line=2
厦门卫视,http://60.205.114.16/live/xmws.m3u8?user=APTV66&line=2
广东卫视,http://60.205.114.16/live/gdws.m3u8?user=APTV66&line=2
深圳卫视,http://60.205.114.16/live/szws.m3u8?user=APTV66&line=2
广西卫视,http://60.205.114.16/live/gxws.m3u8?user=APTV66&line=2
云南卫视,http://60.205.114.16/live/ynws.m3u8?user=APTV66&line=2
贵州卫视,http://60.205.114.16/live/gzws.m3u8?user=APTV66&line=2
四川卫视,http://60.205.114.16/live/scws.m3u8?user=APTV66&line=2
康巴卫视,http://60.205.114.16/live/kbws.m3u8?user=APTV66&line=2
海南卫视,http://60.205.114.16/live/hinws.m3u8?user=APTV66&line=2
三沙卫视,http://60.205.114.16/live/ssws.m3u8?user=APTV66&line=2
新疆卫视,http://60.205.114.16/live/xjws.m3u8?user=APTV66&line=2
兵团卫视,http://60.205.114.16/live/btws.m3u8?user=APTV66&line=2
西藏卫视,http://60.205.114.16/live/xzws.m3u8?user=APTV66&line=2
西藏藏语卫视,http://60.205.114.16/live/xzzyws.m3u8?user=APTV66&line=2
CETV1,http://60.205.114.16/live/cetv1.m3u8?user=APTV66&line=2
CETV2,http://60.205.114.16/live/cetv2.m3u8?user=APTV66&line=2
CETV4,http://60.205.114.16/live/cetv4.m3u8?user=APTV66&line=2
北京纪实科教,http://60.205.114.16/live/bjjskj.m3u8?user=APTV66&line=2
纪实人文,http://60.205.114.16/live/shjsrw.m3u8?user=APTV66&line=2
动漫秀场,http://60.205.114.16/live/dmxc.m3u8?user=APTV66&line=2
哈哈炫动,http://60.205.114.16/live/hhxd.m3u8?user=APTV66&line=2
欢笑剧场,http://60.205.114.16/live/hxjc.m3u8?user=APTV66&line=2
欢笑剧场 4K,http://60.205.114.16/live/hxjc4k.m3u8?user=APTV66&line=2
都市剧场,http://60.205.114.16/live/dsjc.m3u8?user=APTV66&line=2
五星体育,http://60.205.114.16/live/wxty.m3u8?user=APTV66&line=2
劲爆体育,http://60.205.114.16/live/jbty.m3u8?user=APTV66&line=2
新视觉,http://60.205.114.16/live/xsj.m3u8?user=APTV66&line=2
游戏风云,http://60.205.114.16/live/yxfy.m3u8?user=APTV66&line=2
生活时尚,http://60.205.114.16/live/shss.m3u8?user=APTV66&line=2
金色学堂,http://60.205.114.16/live/jspd.m3u8?user=APTV66&line=2
乐游,http://60.205.114.16/live/qjs.m3u8?user=APTV66&line=2
魅力足球,http://60.205.114.16/live/mlzq.m3u8?user=APTV66&line=2
茶频道,http://60.205.114.16/live/cpd.m3u8?user=APTV66&line=2
快乐垂钓,http://60.205.114.16/live/klcd.m3u8?user=APTV66&line=2
金鹰纪实,http://60.205.114.16/live/jyjs.m3u8?user=APTV66&line=2
金鹰卡通,http://60.205.114.16/live/jykt.m3u8?user=APTV66&line=2
嘉佳卡通,http://60.205.114.16/live/jjkt.m3u8?user=APTV66&line=2
财富天下,http://60.205.114.16/live/cftx.m3u8?user=APTV66&line=2
中国天气,http://60.205.114.16/live/zgtq.m3u8?user=APTV66&line=2
上海新闻综合,http://60.205.114.16/live/shxwzh.m3u8?user=APTV66&line=2
上海都市,http://60.205.114.16/live/shds.m3u8?user=APTV66&line=2
上海ICS外语,http://60.205.114.16/live/shics.m3u8?user=APTV66&line=2
东方影视,http://60.205.114.16/live/dfys.m3u8?user=APTV66&line=2
七彩戏剧,http://60.205.114.16/live/qcxj.m3u8?user=APTV66&line=2
第一财经,http://60.205.114.16/live/dycj.m3u8?user=APTV66&line=2
法治天地,http://60.205.114.16/live/fztd.m3u8?user=APTV66&line=2
东方财经,http://60.205.114.16/live/dfcj.m3u8?user=APTV66&line=2
上海教育,http://60.205.114.16/live/shjy.m3u8?user=APTV66&line=2
东方购物,http://60.205.114.16/live/dfgw.m3u8?user=APTV66&line=2
浦东电视台,http://60.205.114.16/live/pdtv.m3u8?user=APTV66&line=2
福建综合,http://60.205.114.16/live/fjzh.m3u8?user=APTV66&line=2
福建新闻,http://60.205.114.16/live/fjxw.m3u8?user=APTV66&line=2
福建电视剧,http://60.205.114.16/live/fjdsj.m3u8?user=APTV66&line=2
福建文体,http://60.205.114.16/live/fjwt.m3u8?user=APTV66&line=2
福建少儿,http://60.205.114.16/live/fjse.m3u8?user=APTV66&line=2
福建旅游,http://60.205.114.16/live/fjly.m3u8?user=APTV66&line=2
福建经济,http://60.205.114.16/live/fjjj.m3u8?user=APTV66&line=2
福建公共,http://60.205.114.16/live/fjgg.m3u8?user=APTV66&line=2
福建教育,http://60.205.114.16/live/fjjy.m3u8?user=APTV66&line=2
看天下精选,http://60.205.114.16/live/ktxjx.m3u8?user=APTV66&line=2
华语影院,http://60.205.114.16/live/hyyy.m3u8?user=APTV66&line=2
电竞天堂,http://60.205.114.16/live/djtt.m3u8?user=APTV66&line=2
青春动漫,http://60.205.114.16/live/qcdm.m3u8?user=APTV66&line=2
星光影院,http://60.205.114.16/live/xgyy.m3u8?user=APTV66&line=2
谍战剧场,http://60.205.114.16/live/dzjc.m3u8?user=APTV66&line=2
全球大片,http://60.205.114.16/live/qqdp.m3u8?user=APTV66&line=2
热门剧场,http://60.205.114.16/live/rmjc.m3u8?user=APTV66&line=2
热门综艺,http://60.205.114.16/live/rmzy.m3u8?user=APTV66&line=2
戏曲精选,http://60.205.114.16/live/xqjx.m3u8?user=APTV66&line=2
健康养生,http://60.205.114.16/live/jkys.m3u8?user=APTV66&line=2
百变课堂,http://60.205.114.16/live/bbkt.m3u8?user=APTV66&line=2
宝宝动画,http://60.205.114.16/live/bbdh.m3u8?user=APTV66&line=2
百视通体育1,http://60.205.114.16/live/sport1.m3u8?user=APTV66&line=2
百视通体育2,http://60.205.114.16/live/sport2.m3u8?user=APTV66&line=2
百视通体育3,http://60.205.114.16/live/sport3.m3u8?user=APTV66&line=2
百视通体育4,http://60.205.114.16/live/sport4.m3u8?user=APTV66&line=2
百视通体育5,http://60.205.114.16/live/sport5.m3u8?user=APTV66&line=2
百视通体育6,http://60.205.114.16/live/sport6.m3u8?user=APTV66&line=2
百视通体育7,http://60.205.114.16/live/sport7.m3u8?user=APTV66&line=2
CCTV-1 综合,http://60.205.114.16/live/cctv1.m3u8?user=APTV66&line=3
CCTV-2 财经,http://60.205.114.16/live/cctv2.m3u8?user=APTV66&line=3
CCTV-3 综艺,http://60.205.114.16/live/cctv3.m3u8?user=APTV66&line=3
CCTV-4 中文国际,http://60.205.114.16/live/cctv4.m3u8?user=APTV66&line=3
CCTV-5 体育,http://60.205.114.16/live/cctv5.m3u8?user=APTV66&line=3
CCTV-5+ 体育赛事,http://60.205.114.16/live/cctv5p.m3u8?user=APTV66&line=3
CCTV-6 电影,http://60.205.114.16/live/cctv6.m3u8?user=APTV66&line=3
CCTV-7 国防军事,http://60.205.114.16/live/cctv7.m3u8?user=APTV66&line=3
CCTV-8 电视剧,http://60.205.114.16/live/cctv8.m3u8?user=APTV66&line=3
CCTV-9 纪录,http://60.205.114.16/live/cctv9.m3u8?user=APTV66&line=3
CCTV-10 科教,http://60.205.114.16/live/cctv10.m3u8?user=APTV66&line=3
CCTV-11 戏曲,http://60.205.114.16/live/cctv11.m3u8?user=APTV66&line=3
CCTV-12 社会与法,http://60.205.114.16/live/cctv12.m3u8?user=APTV66&line=3
CCTV-13 新闻,http://60.205.114.16/live/cctv13.m3u8?user=APTV66&line=3
CCTV-14 少儿,http://60.205.114.16/live/cctv14.m3u8?user=APTV66&line=3
CCTV-15 音乐,http://60.205.114.16/live/cctv15.m3u8?user=APTV66&line=3
CCTV-16 奥林匹克,http://60.205.114.16/live/cctv16.m3u8?user=APTV66&line=3
CCTV-17 农业农村,http://60.205.114.16/live/cctv17.m3u8?user=APTV66&line=3
CCTV-4K 超高清,http://60.205.114.16/live/cctv4k.m3u8?user=APTV66&line=3
CCTV-16 奥林匹克 4K,http://60.205.114.16/live/cctv164k.m3u8?user=APTV66&line=3
CGTN,http://60.205.114.16/live/cgtn.m3u8?user=APTV66&line=3
北京卫视,http://60.205.114.16/live/bjws.m3u8?user=APTV66&line=3
